PostType,UEID,UTID,RTID,RCID,NoC,Year,Date,Time,Author_UneditedID,Author_EnglishID,Author_UsenetID,AnonDegree,CAID,SAID,TAID,UAID,ThreadTitle,Newsgroup,CText,Url,Notes,CP,CPID
Comment,FT001CM01,,FT001,CM01,,1982,1982-12-20,11:17:13,rabbit!ark,,rabbit!ark,3,A0339,,,A0339,AIDS,Net.singles,"Last I heard, the cause or means of transmission of AIDS was not known. I would appreciate any pointers to well-documented claims to the contrary.",https://groups.google.com/g/net.singles/c/gEDvClZ47fg/m/RRfb3y5cGlIJ,First Comment About HIV/AIDS on Usenet,,
Comment,FT001CM02,,FT001,CM02,,1982,1982-12-21,19:33:48,Jack Buchanan (mcnc!jwb),"Buchanan, Jack",mcnc!jwb,1,A0182,,,A0182,AIDS,Net.singles,"I am in no way an expert on AIDS. I did recieve a copy of recommendations from the Center for Disease Control for health personnel working with these patients. They summarize the current level of knowledge in the first paragraph. ""the etiology of the underlying immune deficiencies seen in AIDS cases is unknown. One hypothesis consistent with current observations is that a trans- missible agent may be involved. If so, transiDmission of the agent would appear most commonly to require intimate direct contact involving mucosal surfaces, such as sexual contact among homosexual males, or through parenteral spread, such as occurs among intravenous drug abusers and possible hemophilia patients using Factor VIII products. Airborne spread and interpersonal spread through casual contact do not seem likely. These patterns resemble the distribution of disease and modes of spread of hepatitis B virus, and hepatitis B virus infectons occur very frequently among aidDDDAIDS cases. ""There is presently no evidence of AIDS transmission to hospital personnel from contact with affected patients or clinical specimens. Because of concern about a possible transmissible agent, however, interim suggestions are appropriate to guide patient-care and laboratory personnel, including those whose work invloves experimental animals..... "" Essentially the suggestions are those which are followed when caring for patients ore boDDDDDr body fludDids with haDepatitis. (Handwashing, gloves, gowne,DDs D, masks, etc.) Quote from ""Morbidity and Mortality WeelDkly Report, 31:43, Nov 5, 1982."" This is a respected newsletter type of thing sent by the Center for Disease Control to physicians and other healteDh personnel. The CDC, incidently, is a government agency probably most noted currently for tracking down Legionaires Disease. Jack Buchanan (MD))D University of North Carolina Chapel Hill, NC duke!mcnc!jwb",https://groups.google.com/g/net.singles/c/gEDvClZ47fg/m/lOaA27ZKm_kJ,"Self-identified Medical Expert, includes name, forgoes anonymity",,
Comment,FT001CM03,,FT001,CM03,,1982,1982-12-21,23:52:12,Barry Evans (wivax!evans),"Evans, Barry",wivax!evans,1,A0034,,,A0034,AIDS,Net.singles,The disease sounds very frightening. I had heard about it about two weeks ago. Seems like the public should be more aware of it. Anybody have any info on it? Barry Evans,https://groups.google.com/g/net.singles/c/gEDvClZ47fg/m/YsySt0kSyZgJ,"Includes name, forgoes anonymity",,
Comment,FT001CM04,,FT001,CM04,,1982,1982-12-23,16:17:35,amd70!pn,,ucbvax!amd70!phil,3,A0017,,,A0017,AIDS,Net.singles,"I just heard about something rather frightening: Acquired Immune Deficency Syndrome, AIDS for short. It is transmitted by any excrement or secretion, including saliva, blood, urine, feces, and sperm. It is apparently fatal about 40% of the time. It has a estimated latency time of about a year, during which the victim is contagious but shows no symptoms. The relevance of this to net.singles is that it reminds me of a recent article in Time about sexually transmitted diseases. This article said there was a period when casual sex was possible. VD was easily cured. Then along came herpes. Now, for better or for worse, the choice of a partner could not be so care-free. This article even alluded to a wrathful God inflicting herpes as a punishment. Well, herpes may be painful and uncurable, but it is not fatal. Now here is a disease which is. I wonder if AIDS will encourage monogamy in cases where herpes hasn't. Apparently male homosexuals, who as a group tend to change partners frequently, are often victims of AIDS. I wonder what Time thinks of this. And, I wonder what you think of this. Oh, and don't get any blood transfusions either. ucbvax!amd70!phil",https://groups.google.com/g/net.singles/c/gEDvClZ47fg/m/9PE9UTb23b8J,,,
Comment,FT002CM01,,FT002,CM01,,1982,1982-12-22,13:04:16,Christoph Bobrowski,"Bobrowski, Christoph",utcsrgv!bobr,1,A0071,,,A0071,what is AIDS \?,Net.singles,"Looks like we did not get any news articles **defining** what AIDS is. Could someone please tell me ?? Christoph Bobrowski, Dept. CS Toronto",https://groups.google.com/g/net.singles/c/4Eimqr6nxA8/m/yf0I_8QNQ9YJ,,,
Comment,FT003CM01,,FT003,CM01,,1982,1983-01-12,19:57:07,unc!kh,,unc!kh,3,A0424,,,A0424,AIDS,Net.singles,Newsweek had a page-long article on AIDS a week or two ago. Immigrants from Haiti and their children are another high risk group for AIDS.,https://groups.google.com/g/net.singles/c/nloso0YO0iM/m/rSCI1uhfgPQJ,,,
Comment,FT003CM02,,FT003,CM02,,1983,1983-01-12,20:37:52,mhtsal!fmc,,mhtsal!fmc,3,A0293,,,A0293,AIDS,Net.singles,"The recent discussion of AIDS (Acquired Immune Deficiency Syndrome) on this news-group prompted me to ask a nurse what she knew about it. She said she had just attended a seminar on it at her hospital. The following points emerged from our talk: 1. It is currently most predominant in homosexuals, BUT it is beginning to spread to non-homosexuals. 2. Transmission methods seem to involve some bodily secretion, including saliva. 3. She said that it could be acquired from DRY, but contaminated, toilet seats up to 90 minutes after the contamination! 4. A very fatal form of skin cancer can occur in victims. 5. Your best defense at present is to practice good personal hygiene habits (washing before handling food, after using the bathroom, etc). I got no information as to the frequency of occurrance in the population as a whole. This is the most interesting data I feel is still missing. If anyone has info on this, please post it. It makes a great difference whether this is a disease that affects only 0.1% of the population EVERY year, or whether the affected population is doubling (or whatever) EACH year.",https://groups.google.com/g/net.singles/c/nloso0YO0iM/m/gciI6XyYVN8J,,,
Comment,FT003CM03,,FT003,CM03,,1983,1983-01-12,21:30:00,amd70!pn,,ucbvax!amd70!phil,3,A0017,,,A0017,AIDS,Net.singles,"I had heard that it had a relatively long latency period, I think up to a year. If one combines that with the ease of transmission and the high mortality rate, what results sounds quite frightening to me...",https://groups.google.com/g/net.singles/c/nloso0YO0iM/m/H80ozGOAuwMJ,,,
Comment,FT003CM04,,FT003,CM04,,1983,1983-01-13,17:06:01,Jack Buchanan (mcnc!jwb),"Buchanan, Jack",mcnc!jwb,1,A0182,,,A0182,AIDS,Net.singles,"In terms of acquireDing AIDS(Acquired Immune Deficiency Syndrome) from foiDDDtoilet seats, according to the Center for Disease Control, the mode of transmission is unkoDnown, although the similarity to transmission of hepatitis has caused an *assumption* that it is infectious. Hospital personell are urged to take the same precautions as with Hepatitis. This will be confused with the infectious characteristics of AIDS itself. These characteristics are unknown (except for the above similarity to hepatitis). Anything else is conjecture at this point. I have seen figures on the prevalence of AIDS and will try to find them. It is much, much lseeDDDess thatDn 0.1&%DD% D. What makes it of concern to the CDC and others is that the prevalence is increasing. (It was unknown not long ago). Another point is the tDwe only have incidence and prevalance of recognized cases. OfterDn diseases have been around along time but just haven't been recognized. DDD, or have been assumed to have the wrong characteristics. Legionaires disease is an example of the first.D(the causative agent was found in frozen fluids from patients from earlier unexplained outbreaks of pneumonia). An example of the second is histoplasmosis, a fungal disease found in the Ohio valley. For many years it was thought to be a deadly disease as all patients recognized to have it were critically ill and ususDally died. It was later found that almost everyone in the Ohio valley had antibodies to the fungus and the fatal cDDDDal cases were the exception. The others had had sublDclinical cases and tDnow the disease is considered pretty dDbenign. The point is that little is know Dn bD*by anyone* about AITDDS. What is known can be summarized 1. The cases that have been recognized have resulted in very serious complications (cancer, overwhelming infection, etc) 2. Most D, but not all, cases have been in homosecDxual males. 3. It has (IthiDDD think) been transmitted by blood transfulDsion. (I am not as sure on this point). 4. Its mode of transmission (using detective work and following patients to contacts, etc) seems similar to hepatitis and therefore the working hypothesis is that a transmissible agent (probably virus) is involved. This is not proven. 5. It is at this point very reDare. 6. I doubt (but cannot prove it D) that you can get it from toilet seats. Jack Buchanan UNC-Chapel Hill",https://groups.google.com/g/net.singles/c/nloso0YO0iM/m/YVmEYb9EWlkJ,"Self-identified Medical Expert, includes name, forgoes anonymity",,
Comment,FT004CM01,,FT004,CM01,,1983,1983-01-30,2:12:39,Steve Purduski (ihuxsillisse),"Purduski, Steve",ihuxsillisse,1,A0398,,,A0398,"Myopia Surgery Results or, ""the Eyes have It""",Net.med,"I have received several responses to my request for information about corrective surgery for Myopia (near-sightedness) and they are very interesting. It seems that there is general agreement over the method used in the surgery but very little agreement on the effectiveness, cost, availability, etc. I get the impression of a lack of communication in the United States or world medical community. However, here are the results; judge for yourselves: Rich Strebendt writes that he consulted with a doctor at the Wheaton Eye Clinic in Wheaton Illinois about the operation. He was told that the operation is available but that it provides minimal correction and is used only in cases of mild myopia. Since his myopia was advanced to a point that he would require continued use of glasses, his doctor advised against it and he followed the advice. Nanak Shukla (told me in person) that he has approached his opthalmologist seeking the operation and was told that the operation is used only in severe cases of myopia and that he was advised against it. Nanak does not have a mild case of myopia. Tim Maroney wrote that the procedure is call ""Radial-K"" surgery. It was discovered by accident in the Soviet Union when a teenaged boy received glass cuts of the eye and his vision was tremendously improved. He doubts that the procedure is available because the long term effects are not known. He also wrote of another procedure in which the cornea is actually removed from the eye, frozen, lathed to proper shape, and re-implanted. (Editor's note: I am not entirely sure, but I think that this is a surgical procedure for cataracts rather than correction of myopia). Steven L Wagner submitted an article describing his brother's experience with the procedure called ""radial-keratotomy"" (the Radial-K above). To summarize, there are two versions, an old and a new. Each eye is done separately (to heal in the meantime). His brother has one eye with 16 slits (the old method) and one eye with the new (8 slits). There was a great increase in visual acuity. There are no visible side-effects, but his brother can notice the scars if he looks at the right thing. The eye is considered potentially more fragile after this procedure. Each eye cost about 1-1.5 K$. Finally, Mary Hauck write that she thought the procedure was not allowed in the U.S. Those are the replys, so far. Personally, it sounds to me as if there is an available procedure in the U.S. for correcting myopia but the long-term effects are not known. Possibly, the differing opinions and recommendations of doctors reflects the uncertainty of the procedure. I did note in the responses to this question that near-sighted people (myself included) seem to be hoping and praying for a miraculous procedure and rid themselves of the handicap of glasses, contacts, and even, imperfect vision even with aids. The encouraging sign is that medical science is actively seeking relief with research such as the ""Radial-K"" procedure. Steve Purduski Bell Laboratories Naperville, Il.",https://groups.google.com/g/net.med/c/MXt672DuYxI/m/iDqGKlgdgmwJ,,,
